Kingdom,KingdomC,Phylum,PhylumC,Class,ClassC,Order,OrderC,Family,FamilyC,Genus,GenusC,Species,ScientificName,CommonNameC,IsEndemic
Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Strobilopsidae,內溝蝸牛科,Enteroplax,,kanjiokuboi,Enteroplax kanjiokuboi,東埔內溝蝸,1
Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Streptaxidae,扭蝸牛科,Elma,,swinhoei,Elma swinhoei,草包蝸,1
Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Helicarionidae,鱉甲蝸牛科,Trochochlamys,,crenulata,Trochochlamys crenulata hotawana,臺灣笠黍蝸,1
Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Enidae,似煙管蝸牛科,Luchuena,琉球似煙管蝸牛屬,luchuana,Luchuena luchuana kasyotoensis,綠島似煙管蝸,1
Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Clausiliidae,煙管蝸牛科,Thaumatoptyx,,uraniscoptyx,Thaumatoptyx uraniscoptyx diploptyx,雙襞奇管蝸,1
Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Clausiliidae,煙管蝸牛科,Thaumatoptyx,,uranicoptyx,Thaumatoptyx uranicoptyx,天女細煙管蝸,1
Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Clausiliidae,煙管蝸牛科,Thaumatoptyx,,santiaoensis,Thaumatoptyx santiaoensis,三貂嶺細煙管蝸,1
Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Clausiliidae,煙管蝸牛科,Thaumatoptyx,,hassenensis,Thaumatoptyx hassenensis,八仙山細煙管蝸,1
Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Clausiliidae,煙管蝸牛科,Thaumatoptyx,,gonyptyx,Thaumatoptyx gonyptyx lacuphila,,1
Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Clausiliidae,煙管蝸牛科,Thaumatoptyx,,diacoptyx,Thaumatoptyx diacoptyx,紡錘細煙管蝸,1
Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Clausiliidae,煙管蝸牛科,Thaumatoptyx,,crassilamellata,Thaumatoptyx crassilamellata,鬼牙細煙管蝸,1
Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Clausiliidae,煙管蝸牛科,Thaumatoptyx,,costellata,Thaumatoptyx costellata,,1
Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Clausiliidae,煙管蝸牛科,Thaumatoptyx,,bivincta,Thaumatoptyx bivincta,環線細煙管蝸,1
Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Clausiliidae,煙管蝸牛科,Reinia,,changi,Reinia changi,張氏寬口煙管蝸,1
Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Clausiliidae,煙管蝸牛科,Phaedusa,煙管蝸牛屬,horikawai,Phaedusa horikawai ishizakii,石崎煙管蝸,1
Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Clausiliidae,煙管蝸牛科,Phaedusa,煙管蝸牛屬,horikawai,Phaedusa horikawai,堀川煙管蝸,1
Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Clausiliidae,煙管蝸牛科,Phaedusa,煙管蝸牛屬,hayashii,Phaedusa hayashii chipenensis,知本煙管蝸,1
Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Clausiliidae,煙管蝸牛科,Oospira,,taiwanica,Oospira taiwanica,光澤臺灣煙管蝸,1
Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Clausiliidae,煙管蝸牛科,Oospira,,swinhoei,Oospira swinhoei,斯文豪煙管蝸,1
Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Clausiliidae,煙管蝸牛科,Oospira,,lingchuanensis,Oospira lingchuanensis,冷泉煙管蝸,1
Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Clausiliidae,煙管蝸牛科,Oospira,,formosensis,Oospira formosensis paraformosensis,,1
Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Clausiliidae,煙管蝸牛科,Oospira,,formosensis,Oospira formosensis hotawana,寶斗山煙管蝸,1
Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Clausiliidae,煙管蝸牛科,Oospira,,formosensis,Oospira formosensis formosensis,臺灣煙管蝸,1
Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Clausiliidae,煙管蝸牛科,Oospira,,albiapex,Oospira albiapex,白頂煙管蝸,1
Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Stylommatophora,柄眼目,Clausiliidae,煙管蝸牛科,Hemiphaedusa,臺灣紡錘煙管蝸牛屬,similaris,Hemiphaedusa similaris ventriosa,黑紡錘煙管蝸,1
