Kingdom,KingdomC,Phylum,PhylumC,Class,ClassC,Order,OrderC,Family,FamilyC,Genus,GenusC,Species,ScientificName,CommonNameC,CoaCode,CoaCType
Animalia,動物界,Chordata,脊索動物門,Mammalia,哺乳綱,Cetacea,鯨目,Ziphiidae,喙鯨科,Ziphius,喙鯨屬,cavirostris,Ziphius cavirostris,柯氏喙鯨,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Mammalia,哺乳綱,Carnivora,食肉目,Viverridae,靈貓科,Viverricula,小靈貓屬,indica,Viverricula indica taivana,麝香貓;小靈貓,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Mammalia,哺乳綱,Carnivora,食肉目,Ursidae,熊科,Ursus,棕熊屬,thibetanus,Ursus thibetanus formosanus,臺灣黑熊;黑熊,I,瀕臨滅絕
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Passeriformes,雀形目,Corvidae,鴉科,Urocissa,藍鵲屬,caerulea,Urocissa caerulea,臺灣藍鵲;紅嘴山鵲;長尾山娘,III,其它應予保育
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Strigiformes,鴞形目,Tytonidae,草鴞科,Tyto,草鴞屬,longimembris,Tyto longimembris pithecops,草鴞;東方草鴞,I,瀕臨滅絕
Animalia,動物界,Chordata,脊索動物門,Mammalia,哺乳綱,Cetacea,鯨目,Delphinidae,海豚科,Tursiops,寬吻海豚屬,truncatus,Tursiops truncatus,瓶鼻海豚,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Mammalia,哺乳綱,Cetacea,鯨目,Delphinidae,海豚科,Tursiops,寬吻海豚屬,aduncus,Tursiops aduncus,印太瓶鼻海豚,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Passeriformes,雀形目,Turdidae,鶇科,Turdus,鶇屬,poliocephalus,Turdus poliocephalus niveiceps,白頭鶇;島鶇,II,珍貴稀有
Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Lepidoptera,鱗翅目,Papilionidae,鳳蝶科,Troides,裳鳳蝶屬,magellanus,Troides magellanus sonani,珠光裳鳳蝶;珠光鳳蝶;珠光黃裳鳳蝶;蘭嶼黃裙鳳蝶;蘭嶼金鳳蝶;螢光翼鳳蝶;螢光裳鳳蝶,I,瀕臨滅絕
Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Lepidoptera,鱗翅目,Papilionidae,鳳蝶科,Troides,裳鳳蝶屬,aeacus,Troides aeacus formosanus,黃裳鳳蝶;金裳鳳蝶;黃裙鳳蝶;恆春金鳳蝶;金裳翼鳳蝶,III,其它應予保育
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Charadriiformes,鴴形目,Scolopacidae,鷸科,Tringa,鷸屬,guttifer,Tringa guttifer,諾氏鷸;小青腳鷸,I,瀕臨滅絕
Animalia,動物界,Chordata,脊索動物門,Reptilia,爬蟲綱,Squamata,有鱗目,Viperidae,蝮蛇科,Trimeresurus,竹葉青屬,gracilis,Trimeresurus gracilis,菊池氏龜殼花;臺灣烙鐵頭,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Columbiformes,鴿形目,Columbidae,鳩鴿科,Treron,綠鳩屬,formosae,Treron formosae formosae,紅頭綠鳩;紅頂綠鳩,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Pelecaniformes,鵜形目,Threskiornithidae,鹮科,Threskiornis,白鹮屬,melanocephalus,Threskiornis melanocephalus,黑頭白鹮,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Charadriiformes,鴴形目,Laridae,鷗科,Thalasseus,鳳頭燕鷗屬,bernsteini,Thalasseus bernsteini,黑嘴端鳳頭燕鷗,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Charadriiformes,鴴形目,Laridae,鷗科,Thalasseus,鳳頭燕鷗屬,bergii,Thalasseus bergii cristatus,鳳頭燕鷗;大鳳頭燕鷗,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Passeriformes,雀形目,Monarchidae,王鶲科,Terpsiphone,壽帶屬,atrocaudata,Terpsiphone atrocaudata atrocaudata,紫綬帶(過境亞種);綬帶鳥;黑綬帶鳥;紫壽帶,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Passeriformes,雀形目,Muscicapidae,鶲科,Tarsiger,林鴝屬,indicus,Tarsiger indicus formosanus,白眉林鴝,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Reptilia,爬蟲綱,Squamata,有鱗目,Lacertidae,正蜥科,Takydromus,草蜥屬,sauteri,Takydromus sauteri,梭德氏草蜥;梭德氏舅母蛇;南臺草蜥,III,其它應予保育
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Galliformes,雞形目,Phasianidae,雉科,Syrmaticus,長尾雉屬,mikado,Syrmaticus mikado,黑長尾雉;帝雉,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Strigiformes,鴞形目,Strigidae,鴟鴞科,Strix,林鴞屬,nivicola,Strix nivicola yamadae,東方灰林鴞,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Strigiformes,鴞形目,Strigidae,鴟鴞科,Strix,林鴞屬,leptogrammica,Strix leptogrammica caligata,褐林鴞,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Charadriiformes,鴴形目,Laridae,鷗科,Sternula,小燕鷗屬,albifrons,Sternula albifrons sinensis,小燕鷗;白額燕鷗,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Charadriiformes,鴴形目,Laridae,鷗科,Sterna,燕鷗屬,sumatrana,Sterna sumatrana sumatrana,黑枕燕鷗;蒼燕鷗,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Charadriiformes,鴴形目,Laridae,鷗科,Sterna,燕鷗屬,dougallii,Sterna dougallii bangsi,粉紅燕鷗;紅燕鷗,II,珍貴稀有
Animalia,動物界,Chordata,脊索動物門,Mammalia,哺乳綱,Cetacea,鯨目,Delphinidae,海豚科,Steno,糙齒海豚屬,bredanensis,Steno bredanensis,糙齒海豚;皺齒海豚,II,珍貴稀有
